Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3458,혼디레술토랑,혼디레술토랑제주특별자치도 제주시 우령서로 57,일반음식점,호프/통닭,제주특별자치도 제주시 우령서로 57,
3459,민박사봉평막국수,민박사봉평막국수제주특별자치도 제주시 삼봉로 10,일반음식점,한식,제주특별자치도 제주시 삼봉로 10,
3460,챨리스,챨리스제주특별자치도 제주시 산천단동3길 17,일반음식점,분식,제주특별자치도 제주시 산천단동3길 17,
3461,놀부네,놀부네제주특별자치도 제주시 한림읍 한림남길 4,일반음식점,한식,제주특별자치도 제주시 한림읍 한림남길 4,
3462,농부의아침,농부의아침제주특별자치도 제주시 한경면 용금로 470,일반음식점,한식,제주특별자치도 제주시 한경면 용금로 470,
3463,달밤솔숲에바람지나가는소리,달밤솔숲에바람지나가는소리제주특별자치도 제주시 전농로 113,일반음식점,기타,제주특별자치도 제주시 전농로 113,
3464,밀림원,밀림원제주특별자치도 제주시 조천읍 남조로 2446,일반음식점,한식,제주특별자치도 제주시 조천읍 남조로 2446,
3465,루스트플레이스아라점,루스트플레이스아라점제주특별자치도 제주시 아란7길 3-3,일반음식점,경양식,제주특별자치도 제주시 아란7길 3-3,
3466,고구려외도점,고구려외도점제주특별자치도 제주시 우정로15길 12,일반음식점,식육(숯불구이),제주특별자치도 제주시 우정로15길 12,
3467,윈드스톤,윈드스톤제주특별자치도 제주시 애월읍 광성로 272,일반음식점,기타,제주특별자치도 제주시 애월읍 광성로 272,
3468,더치박스,더치박스제주특별자치도 제주시 달마루길 18,일반음식점,기타,제주특별자치도 제주시 달마루길 18,
